Learning Rate,Bias,Epoch,x1,x2,Yd,w1 inicial,w2 inicial,Y,Error,w1 final,w2 final
0.01,-1.0,1,0,0,0,0.49084,0.58314,0,0,0.49084,0.58314
0.01,-1.0,1,0,1,0,0.49084,0.58314,0,0,0.49084,0.58314
0.01,-1.0,1,1,0,0,0.49084,0.58314,0,0,0.49084,0.58314
0.01,-1.0,1,1,1,1,0.49084,0.58314,1,0,0.49084,0.58314
0.01,-0.5,1,0,0,0,0.49084,0.58314,0,0,0.49084,0.58314
0.01,-0.5,1,0,1,0,0.49084,0.58314,1,-1,0.49084,0.57314
0.01,-0.5,1,1,0,0,0.49084,0.57314,0,0,0.49084,0.57314
0.01,-0.5,1,1,1,1,0.49084,0.57314,1,0,0.49084,0.57314
0.01,-0.5,2,0,0,0,0.49084,0.57314,0,0,0.49084,0.57314
0.01,-0.5,2,0,1,0,0.49084,0.57314,1,-1,0.49084,0.56314
0.01,-0.5,2,1,0,0,0.49084,0.56314,0,0,0.49084,0.56314
0.01,-0.5,2,1,1,1,0.49084,0.56314,1,0,0.49084,0.56314
0.01,-0.5,3,0,0,0,0.49084,0.56314,0,0,0.49084,0.56314
0.01,-0.5,3,0,1,0,0.49084,0.56314,1,-1,0.49084,0.55314
0.01,-0.5,3,1,0,0,0.49084,0.55314,0,0,0.49084,0.55314
0.01,-0.5,3,1,1,1,0.49084,0.55314,1,0,0.49084,0.55314
0.01,-0.5,4,0,0,0,0.49084,0.55314,0,0,0.49084,0.55314
0.01,-0.5,4,0,1,0,0.49084,0.55314,1,-1,0.49084,0.54314
0.01,-0.5,4,1,0,0,0.49084,0.54314,0,0,0.49084,0.54314
0.01,-0.5,4,1,1,1,0.49084,0.54314,1,0,0.49084,0.54314
0.01,-0.5,5,0,0,0,0.49084,0.54314,0,0,0.49084,0.54314
0.01,-0.5,5,0,1,0,0.49084,0.54314,1,-1,0.49084,0.53314
0.01,-0.5,5,1,0,0,0.49084,0.53314,0,0,0.49084,0.53314
0.01,-0.5,5,1,1,1,0.49084,0.53314,1,0,0.49084,0.53314
0.01,-0.5,6,0,0,0,0.49084,0.53314,0,0,0.49084,0.53314
0.01,-0.5,6,0,1,0,0.49084,0.53314,0,0,0.49084,0.53314
0.01,-0.5,6,1,0,0,0.49084,0.53314,0,0,0.49084,0.53314
0.01,-0.5,6,1,1,1,0.49084,0.53314,1,0,0.49084,0.53314
0.01,0.0,1,0,0,0,0.49084,0.58314,1,-1,0.49084,0.58314
0.01,0.0,1,0,1,0,0.49084,0.58314,1,-1,0.49084,0.57314
0.01,0.0,1,1,0,0,0.49084,0.57314,1,-1,0.48084,0.57314
0.01,0.0,1,1,1,1,0.48084,0.57314,1,0,0.48084,0.57314
0.01,0.0,2,0,0,0,0.48084,0.57314,0,0,0.48084,0.57314
0.01,0.0,2,0,1,0,0.48084,0.57314,1,-1,0.48084,0.56314
0.01,0.0,2,1,0,0,0.48084,0.56314,1,-1,0.47084,0.56314
0.01,0.0,2,1,1,1,0.47084,0.56314,1,0,0.47084,0.56314
0.01,0.0,3,0,0,0,0.47084,0.56314,0,0,0.47084,0.56314
0.01,0.0,3,0,1,0,0.47084,0.56314,1,-1,0.47084,0.55314
0.01,0.0,3,1,0,0,0.47084,0.55314,1,-1,0.46084,0.55314
0.01,0.0,3,1,1,1,0.46084,0.55314,1,0,0.46084,0.55314
0.01,0.0,4,0,0,0,0.46084,0.55314,0,0,0.46084,0.55314
0.01,0.0,4,0,1,0,0.46084,0.55314,1,-1,0.46084,0.54314
0.01,0.0,4,1,0,0,0.46084,0.54314,1,-1,0.45084,0.54314
0.01,0.0,4,1,1,1,0.45084,0.54314,1,0,0.45084,0.54314
0.01,0.0,5,0,0,0,0.45084,0.54314,0,0,0.45084,0.54314
0.01,0.0,5,0,1,0,0.45084,0.54314,1,-1,0.45084,0.53314
0.01,0.0,5,1,0,0,0.45084,0.53314,1,-1,0.44084,0.53314
0.01,0.0,5,1,1,1,0.44084,0.53314,1,0,0.44084,0.53314
0.01,0.0,6,0,0,0,0.44084,0.53314,0,0,0.44084,0.53314
0.01,0.0,6,0,1,0,0.44084,0.53314,1,-1,0.44084,0.52314
0.01,0.0,6,1,0,0,0.44084,0.52314,1,-1,0.43084,0.52314
0.01,0.0,6,1,1,1,0.43084,0.52314,1,0,0.43084,0.52314
0.01,0.0,7,0,0,0,0.43084,0.52314,0,0,0.43084,0.52314
0.01,0.0,7,0,1,0,0.43084,0.52314,1,-1,0.43084,0.51314
0.01,0.0,7,1,0,0,0.43084,0.51314,1,-1,0.42084,0.51314
0.01,0.0,7,1,1,1,0.42084,0.51314,1,0,0.42084,0.51314
0.01,0.0,8,0,0,0,0.42084,0.51314,0,0,0.42084,0.51314
0.01,0.0,8,0,1,0,0.42084,0.51314,1,-1,0.42084,0.50314
0.01,0.0,8,1,0,0,0.42084,0.50314,1,-1,0.41084,0.50314
